measureParam	dummy logComm H_mean	dummy logComm H_sigma	logComm H_mean	logComm H_sigma
0.0010526315789473684			0.6767113494191243	0.0	
0.005263157894736842			0.7453440571939232	0.0	
0.010526315789473684			0.7453440571939232	0.0	
0.021052631578947368			0.7453440571939232	0.0	
0.031578947368421054			0.8375692582663091	0.0	
0.042105263157894736			0.8375692582663091	0.0	
0.05263157894736842			0.7632171581769437	0.0	
0.06315789473684211	0.7632171581769437	0.0	0.7632171581769437	0.0	
0.0736842105263158	0.876461126005362	0.0	0.710455764075067	0.0	
0.08421052631578949	0.876461126005362	0.0	0.7632171581769437	0.0	
0.09473684210526317	0.7632171581769437	0.0	0.710455764075067	0.0	
0.10526315789473686	0.8375692582663091	0.0	0.597354781054513	0.0	
0.11578947368421055	0.876461126005362	0.0	0.8568722073279713	0.0	
0.12631578947368424	0.8185522788203753	0.0	0.8568722073279713	0.0	
0.13684210526315793	0.8568722073279713	0.0	0.8568722073279713	0.0	
0.14736842105263162	0.8568722073279713	0.0	0.8568722073279713	0.0	
0.1578947368421053	0.8568722073279713	0.0	0.8568722073279713	0.0	
0.168421052631579	0.8568722073279713	0.0	0.7998212689901698	0.0	
0.1789473684210527	0.7998212689901698	0.0	0.8185522788203753	0.0	
0.18947368421052638	0.8375692582663091	0.0	0.876461126005362	0.0	
0.20000000000000007	0.876461126005362	0.0	0.8963360142984809	0.0	
0.21052631578947376	0.8963360142984809	0.0	0.8963360142984809	0.0	
0.22105263157894744	0.8963360142984809	0.0	0.8963360142984809	0.0	
0.23157894736842113	0.8568722073279713	0.0	0.8568722073279713	0.0	
0.24210526315789482	0.876461126005362	0.0	0.8568722073279713	0.0	
0.2526315789473685	0.9164968722073279	0.0	0.9164968722073279	0.0	
0.26315789473684215	0.8963360142984809	0.0	0.9164968722073279	0.0	
0.2736842105263158	0.9164968722073279	0.0	0.9164968722073279	0.0	
0.28421052631578947	0.9164968722073279	0.0	0.9164968722073279	0.0	
0.29473684210526313	0.9164968722073279	0.0	0.9369436997319035	0.0	
0.3052631578947368	0.9576764968722072	0.0	0.9576764968722072	0.0	
0.31578947368421045	0.9576764968722072	0.0	0.9576764968722072	0.0	
0.3263157894736841	0.9576764968722072	0.0	0.9369436997319035	0.0	
0.3368421052631578	0.9369436997319035	0.0	0.9369436997319035	0.0	
0.34736842105263144	0.9369436997319035	0.0	0.9369436997319035	0.0	
0.3578947368421051	0.9369436997319035	0.0	0.9369436997319035	0.0	
0.36842105263157876	0.9576764968722072	0.0	0.9576764968722072	0.0	
0.3789473684210524	0.9576764968722072	0.0	0.9576764968722072	0.0	
0.3894736842105261	0.9576764968722072	0.0	0.9576764968722072	0.0	
0.39999999999999974	0.9786952636282396	0.0	0.9786952636282396	0.0	
0.4105263157894734	0.9786952636282396	0.0	0.9786952636282396	0.0	
0.42105263157894707	0.9786952636282396	0.0	0.9786952636282396	0.0	
0.43157894736842073	0.9576764968722072	0.0	0.9576764968722072	0.0	
0.4421052631578944	0.9369436997319035	0.0	0.9369436997319035	0.0	
0.45263157894736805	0.9369436997319035	0.0	0.9369436997319035	0.0	
0.4631578947368417	0.9576764968722072	0.0	0.9576764968722072	0.0	
0.4736842105263154	0.9786952636282396	0.0	0.9786952636282396	0.0	
0.48421052631578904	0.9786952636282396	0.0	0.9786952636282396	0.0	
0.4947368421052627	0.9786952636282396	0.0	0.9786952636282396	0.0	
0.5052631578947364	0.9786952636282396	0.0	0.9786952636282396	0.0	
0.5157894736842101	0.9786952636282396	0.0	0.9786952636282396	0.0	
0.5263157894736838	0.9576764968722072	0.0	0.9576764968722072	0.0	
0.5368421052631576	0.9369436997319035	0.0	0.9369436997319035	0.0	
0.5473684210526313	0.9576764968722072	0.0	0.9576764968722072	0.0	
0.557894736842105	0.9576764968722072	0.0	0.9576764968722072	0.0	
0.5684210526315787	0.9576764968722072	0.0	0.9576764968722072	0.0	
0.5789473684210524	0.9576764968722072	0.0	0.9576764968722072	0.0	
0.5894736842105261	0.9576764968722072	0.0	0.9576764968722072	0.0	
0.5999999999999999	0.9576764968722072	0.0	0.9576764968722072	0.0	
0.6105263157894736	0.9576764968722072	0.0	0.9576764968722072	0.0	
0.6210526315789473	0.9576764968722072	0.0	0.9576764968722072	0.0	
0.631578947368421	1.0	0.0	1.0	0.0	
0.6421052631578947	1.0	0.0	1.0	0.0	
0.6526315789473685	1.0	0.0	1.0	0.0	
0.6631578947368422	1.0	0.0	1.0	0.0	
0.6736842105263159	0.9164968722073279	0.0	0.9164968722073279	0.0	
0.6842105263157896	0.9164968722073279	0.0	0.9164968722073279	0.0	
0.6947368421052633	0.9164968722073279	0.0	0.9164968722073279	0.0	
0.705263157894737	1.0	0.0	1.0	0.0	
0.7157894736842108	1.0	0.0	1.0	0.0	
0.7263157894736845	1.0	0.0	1.0	0.0	
0.7368421052631582	1.0	0.0	1.0	0.0	
0.7473684210526319	0.9164968722073279	0.0	0.9164968722073279	0.0	
0.7578947368421056	1.0	0.0	1.0	0.0	
0.7684210526315793	0.8963360142984809	0.0	1.0	0.0	
0.778947368421053	0.9164968722073279	0.0	1.0	0.0	
0.7894736842105268	1.0	0.0	1.0	0.0	
0.8000000000000005	0.8375692582663091	0.0	1.0	0.0	
0.8105263157894742	0.8375692582663091	0.0	0.8568722073279713	0.0	
0.8210526315789479	1.0	0.0	0.9369436997319035	0.0	
0.8315789473684216	0.9786952636282396	0.0	0.19699731903485257	0.0	
0.8421052631578954	0.9164968722073279	0.0	0.19585344057193926	0.0	
0.8526315789473691	0.25876675603217153	0.0	0.1957104557640751	0.0	
0.8631578947368428	0.19585344057193926	0.0	0.19585344057193926	0.0	
0.8736842105263165	0.19928507596067915	0.0	0.19628239499553168	0.0	
0.8842105263157902	0.19928507596067915	0.0	0.19628239499553168	0.0	
0.8947368421052639	0.19928507596067915	0.0	0.1957104557640751	0.0	
0.9052631578947377	0.19928507596067915	0.0	0.19699731903485257	0.0	
0.9157894736842114	0.19928507596067915	0.0	0.19699731903485257	0.0	
0.9263157894736851	0.19928507596067915	0.0	0.19585344057193926	0.0	
0.9368421052631588	0.19928507596067915	0.0	0.19585344057193926	0.0	
0.9473684210526325	0.19928507596067915	0.0	0.1957104557640751	0.0	
0.9578947368421062	0.19928507596067915	0.0	0.19585344057193926	0.0	
0.96842105263158	0.19928507596067915	0.0	0.19628239499553168	0.0	
0.9789473684210537	0.19928507596067915	0.0	0.1979982126899017	0.0	
0.9894736842105274	0.19928507596067915	0.0			
0.9947368421052631	0.19928507596067915	0.0			
0.9989473684210526	0.19928507596067915	0.0			


